name_ru,iata_code,name_en,is_lowcost,top_destinations
Ижавиа,I8,Izhavia,False,"[('DME-IJK', 88066297), ('IJK-DME', 72613022), ('LED-IJK', 35965898), ('IJK-AER', 25707181), ('IJK-LED', 24083042), ('IJK-SVX', 21036217), ('AER-IJK', 20970669), ('DME-MCX', 20386867), ('SVX-IJK', 18769416), ('MCX-DME', 12118985), ('DME-SVX', 6388831), ('IJK-MRV', 4279042), ('SVX-AER', 3552714), ('MRV-IJK', 2931942), ('LED-SVX', 2634519), ('MRV-AER', 2219078), ('AER-MRV', 1699119), ('SGC-UFA', 1340582), ('IJK-MCX', 1222429), ('KGD-IJK', 1201495), ('UFA-SGC', 1115644), ('IJK-KGD', 1036624), ('MCX-IJK', 938719), ('UFA-KVX', 586482), ('KVX-UFA', 354909), ('IKT-IJK', 316518), ('IJK-IKT', 308905), ('DME-IKT', 272043), ('CEK-AER', 246998), ('LED-VKV', 234687), ('CEK-AAQ', 234226), ('LED-KGD', 204965), ('KGD-LED', 202241), ('IJK-SIP', 186960), ('IKT-DME', 165162), ('AER-CEK', 157765), ('VKV-LED', 157045), ('OVB-UFA', 151187), ('IJK-AAQ', 134125), ('CEK-SIP', 133172), ('NJC-UFA', 129098), ('GSV-AAQ', 122830), ('AAQ-CEK', 113122), ('UFA-NJC', 112307), ('LED-IKT', 103013), ('IKT-LED', 85713), ('SIP-IJK', 71243), ('UFA-NNM', 70381), ('KGP-IJK', 70369), ('UFA-OVB', 68295), ('UFA-KUF', 66172), ('IJK-KGP', 64140), ('NNM-UFA', 59599), ('SIP-CEK', 51948), ('AAQ-IJK', 44819), ('AER-IKT', 41795), ('KVX-AAQ', 41499), ('NNM-KVX', 38837), ('UFA-MCX', 35859), ('IKT-AER', 34970), ('KVX-NNM', 34297), ('IJK-USK', 31032), ('NJC-BTK', 28881), ('AAQ-GSV', 28453), ('AAQ-KVX', 26147), ('BTK-NJC', 24730), ('USK-IJK', 24424), ('USK-UFA', 24277), ('KRR-MRV', 20366), ('BTK-UFA', 16615), ('UFA-BTK', 15132), ('UFA-USK', 14987), ('KUF-UFA', 14689), ('IJK-UFA', 14173), ('BTK-OVB', 13488), ('OVB-BTK', 11618), ('IJK-KRR', 8077), ('UFA-IJK', 4677), ('SGC-KUF', 4675), ('KRR-IJK', 1762), ('USK-MCX', 155), ('DME-AER', 43), ('IJK-MMK', 31), ('VKO-MCX', 28), ('MCX-VKO', 26), ('DME-LED', 17), ('SVO-MCX', 17), ('DME-MRV', 10), ('MCX-SVO', 9), ('AER-DME', 4), ('LED-AER', 3), ('MRV-LED', 2), ('AER-SVO', 1), ('LED-OMS', 1)]"
ИрАэро,IO,IrAero,False,"[('AER-IST', 80451658), ('IST-AER', 54983415), ('DME-IST', 40239654), ('DME-GYD', 38914880), ('AER-AYT', 38633334), ('IST-DME', 33292264), ('AYT-AER', 29302401), ('DME-AYT', 28474740), ('IKT-HTA', 26428499), ('GYD-DME', 25474414), ('AYT-DME', 24524985), ('DME-EVN', 23517548), ('MCX-IST', 18995882), ('HTA-IKT', 18625100), ('IKT-VVO', 14710516), ('IKT-UUD', 14647810), ('EVN-DME', 13195290), ('IKT-BQS', 11918670), ('BQS-VVO', 10929687), ('IST-MCX', 10302478), ('MRV-IST', 9854777), ('VVO-IKT', 9547621), ('UUD-IKT', 9523552), ('BQS-IKT', 8564493), ('OVB-IKT', 7471530), ('KZN-GYD', 7207670), ('IST-MRV', 7104908), ('IKT-OVB', 6680103), ('DME-LED', 6452874), ('SVX-GYD', 6151411), ('IKT-UUS', 5718347), ('OGZ-IST', 5167958), ('VVO-BQS', 5067990), ('KJA-IKT', 4735548), ('GYD-KZN', 4605420), ('OVB-GYD', 4360558), ('MRV-EVN', 4166096), ('UUS-IKT', 4092173), ('HTA-VVO', 3700622), ('IST-OGZ', 3328191), ('GYD-SVX', 3314420), ('BQS-HTA', 3177102), ('NER-VVO', 3098003), ('YKS-IKT', 3002140), ('IKT-KJA', 2951780), ('IKT-NER', 2886971), ('OVB-TAS', 2856609), ('IKT-YKS', 2758944), ('VVO-HTA', 2719235), ('UFA-GYD', 2534196), ('NER-IKT', 2485497), ('BQS-UUD', 2477516), ('DME-UGC', 2421044), ('GYD-OVB', 2415675), ('DME-KYZ', 2388915), ('HTA-BQS', 2305547), ('IKT-HAN', 2271699), ('UUD-BQS', 2254353), ('UUD-UUS', 2175613), ('UUS-UUD', 1962010), ('AYT-MCX', 1943449), ('TLK-IKT', 1941673), ('KUF-GYD', 1928332), ('GSV-AYT', 1849008), ('HAN-IKT', 1827957), ('HRB-IKT', 1812801), ('BQS-UUS', 1812630), ('EVN-MRV', 1705758), ('AYT-GSV', 1666642), ('MCX-AYT', 1635336), ('LED-DME', 1565366), ('UUS-BQS', 1560443), ('IKT-HRB', 1430967), ('DME-IKT', 1409039), ('TAS-OVB', 1369978), ('UFA-IST', 1369160), ('UFA-DME', 1368235), ('MJZ-IKT', 1363489), ('DME-GNJ', 1356748), ('IKT-TLK', 1330547), ('VVO-NER', 1324284), ('UUD-VVO', 1318512), ('HTA-UUS', 1308671), ('UUS-HTA', 1260677), ('GYD-UFA', 1258840), ('LED-PEZ', 1237531), ('GSV-GYD', 1214025), ('IST-UFA', 1207231), ('IKT-DME', 1195422), ('UGC-DME', 1139299), ('GYD-GSV', 1125883), ('IKT-TAS', 1084828), ('KYZ-DME', 1076944), ('OVB-KYZ', 1073105), ('LED-GYD', 1039283), ('IKT-MJZ', 1003184), ('IST-NAL', 1001893), ('PEZ-LED', 995937), ('VVO-UUD', 990938), ('KZN-TAS', 987675)]"
КрасАвиа,KV,KrasAvia,False,"[('KJA-TOF', 12568539), ('TOF-KJA', 12531822), ('KJA-BAX', 9386495), ('BAX-KJA', 9344447), ('KJA-KEJ', 7468914), ('NOZ-KJA', 7335192), ('KJA-NOZ', 6624517), ('KJA-OMS', 6244950), ('KEJ-KJA', 6137542), ('OMS-KJA', 5991318), ('KJA-RGK', 4256239), ('KJA-ABA', 4215882), ('RGK-KJA', 3933820), ('KJA-KYZ', 3862402), ('ABA-KJA', 3744305), ('KYZ-KJA', 3706898), ('KYZ-UUD', 2531514), ('UUD-KYZ', 1772901), ('KJA-YKS', 1351230), ('TLK-KJA', 774009), ('YKS-KJA', 761862), ('OVB-KYZ', 694670), ('НЖГ-KJA', 589937), ('KJA-НЖГ', 574041), ('UFA-REN', 562668), ('KYZ-OVB', 506589), ('KEJ-КЯС', 496072), ('KJA-TLK', 488788), ('TOF-КЯС', 438360), ('NUX-KUF', 325766), ('OVB-KJA', 289471), ('КЯС-OMS', 266226), ('KJA-BKA', 230262), ('КЯС-KEJ', 209387), ('OMS-KUF', 207165), ('KUF-NUX', 198972), ('REN-UFA', 197278), ('UFA-HMA', 196672), ('KJA-UBN', 189658), ('ABA-КЯС', 182904), ('HMA-UFA', 177474), ('ULK-КЯС', 176116), ('OMS-UFA', 166555), ('KJA-OVB', 162032), ('КЯС-ABA', 153633), ('NOZ-КЯС', 146119), ('UFA-ZIA', 138276), ('BAX-КЯС', 132075), ('UFA-OMS', 122461), ('KUF-OMS', 111879), ('UFA-KJA', 108903), ('КЯС-BAX', 107031), ('UFA-OVB', 106534), ('ЧАР-KJA', 102092), ('CEK-KJA', 97835), ('ULK-KJA', 97562), ('UBN-KJA', 91991), ('UFA-NNM', 91914), ('ZIA-UFA', 88711), ('OVB-CEK', 78979), ('ТИО-КЯС', 78867), ('КЯС-KYZ', 70774), ('CEK-OVB', 64321), ('NOJ-KUF', 60433), ('KJA-ULK', 58171), ('KUF-NOJ', 53310), ('IAA-KJA', 51822), ('НЖГ-КЯС', 50258), ('KGP-UFA', 48993), ('ТИО-KJA', 48364), ('КЯС-ULK', 46567), ('IKT-OMS', 46211), ('KJA-CEK', 45694), ('КЯС-TOF', 42727), ('UFA-KGP', 42364), ('UFA-TJM', 41319), ('PYJ-KJA', 37400), ('KYZ-КЯС', 35257), ('TOF-SWT', 34750), ('UFA-SGC', 31634), ('КЯС-RGK', 30382), ('SWT-TOF', 29800), ('UUD-RGK', 27391), ('SGC-UFA', 27162), ('КЯС-НЖГ', 25034), ('UFA-KVX', 24845), ('KJA-ЧАР', 24096), ('KJA-PYJ', 21906), ('NSK-HTG', 21006), ('KVX-UFA', 17542), ('KJA-IAA', 16208), ('UFA-USK', 14364), ('RGK-КЯС', 13901), ('HTG-KJA', 13098), ('СЕН-КЯС', 11766), ('KJA-UFA', 11425), ('KJA-СЕН', 10352), ('RGK-UUD', 10340), ('КЯС-СЕН', 9965), ('СЕН-KJA', 9934)]"
NordStar Airlines,Y7,NordStar,False,"[('DME-AER', 338720913), ('AER-DME', 275020739), ('DME-MRV', 159234477), ('DME-LED', 106193829), ('MRV-DME', 96817696), ('LED-DME', 87276744), ('DME-MCX', 77507113), ('MCX-DME', 59008646), ('DME-KJA', 55097984), ('KJA-DME', 44768396), ('DME-UFA', 20936113), ('LED-KJA', 19235940), ('UFA-DME', 17722641), ('KJA-LED', 17497150), ('UFA-AER', 14771408), ('KJA-AER', 13655797), ('AER-KJA', 13652376), ('SVX-VOG', 8761480), ('KRO-DME', 8715838), ('VOG-SVX', 8122750), ('AER-UFA', 7958982), ('KZN-KJA', 7896794), ('KUF-DME', 7027137), ('DME-KUF', 6500611), ('KJA-KZN', 6427007), ('KZN-PEE', 6334877), ('SVX-AER', 6276159), ('KJA-NSK', 5657952), ('DME-NSK', 5447176), ('PEE-KZN', 4624674), ('NSK-KJA', 4581643), ('NSK-DME', 4512228), ('DME-KRO', 3819781), ('TJM-KUF', 3708061), ('NBC-LED', 3660597), ('SVX-UFA', 3608958), ('AER-SVX', 3312580), ('KUF-TJM', 3305799), ('OVB-IKT', 3162266), ('LED-NBC', 3035151), ('CEK-AER', 2915439), ('DME-NBC', 2639217), ('UFA-SVX', 2562937), ('OMS-KJA', 2548156), ('NBC-DME', 2472982), ('GOJ-AER', 2379002), ('IKT-OVB', 2311372), ('KZN-KUF', 2290406), ('KJA-OMS', 2217404), ('OVB-UFA', 2142201), ('AER-CEK', 2023071), ('UFA-OVB', 1887176), ('AER-GOJ', 1837739), ('GOJ-UFA', 1600112), ('LED-NSK', 1431338), ('UFA-GOJ', 1430460), ('NSK-LED', 1205546), ('DME-KZN', 1204172), ('AER-ABA', 1156948), ('KZN-DME', 1124765), ('OMS-DME', 1124130), ('DME-OMS', 1122882), ('SVX-NSK', 1114280), ('DME-AAQ', 1097158), ('KUF-KZN', 1093861), ('OMS-AER', 1065825), ('UFA-KJA', 1024103), ('KJA-UFA', 1021000), ('ABA-AER', 1009796), ('NSK-SVX', 879795), ('UFA-NSK', 784958), ('AER-NSK', 780250), ('AAQ-DME', 755656), ('AER-OMS', 755230), ('NSK-AER', 733215), ('LED-ABA', 705443), ('SVX-STW', 695052), ('DME-NOZ', 646416), ('NSK-UFA', 639360), ('ABA-NSK', 606555), ('SVX-ROV', 503842), ('OVB-NSK', 488377), ('NSK-ABA', 469906), ('NOZ-DME', 462424), ('STW-SVX', 437814), ('UFA-OMS', 405146), ('MRV-NSK', 372339), ('DME-CEK', 369917), ('NSK-MRV', 358633), ('DME-SVX', 342729), ('NSK-OVB', 338269), ('ROV-SVX', 320247), ('SVX-DME', 311585), ('ABA-LED', 300799), ('OMS-UFA', 300470), ('IKT-UFA', 297800), ('UUD-OVB', 286353), ('KUF-KJA', 284804), ('IKT-KJA', 277286), ('KJA-KUF', 266115)]"
Победа,DP,Pobeda,True,"[('VKO-LED', 1601249938), ('LED-VKO', 1290241776), ('SVO-AER', 954611520), ('VKO-AER', 909568901), ('SVO-LED', 890187064), ('LED-SVO', 734785257), ('AER-SVO', 732355568), ('AER-VKO', 684546029), ('SVO-KZN', 510643634), ('VKO-MRV', 482740620), ('KZN-SVO', 415088496), ('VKO-IST', 404880654), ('IST-VKO', 377427510), ('MRV-VKO', 367623131), ('VKO-SVX', 310678600), ('VKO-MCX', 290260198), ('SVO-KGD', 281249446), ('SVX-VKO', 269160715), ('SVO-UFA', 266473426), ('SVO-MRV', 263732891), ('SVO-SVX', 251541898), ('VKO-KUF', 250847596), ('VKO-UFA', 249158794), ('KUF-VKO', 239980132), ('KGD-SVO', 231668732), ('MCX-VKO', 223906421), ('SVX-SVO', 213018759), ('LED-KGD', 212351510), ('VKO-KGD', 201812323), ('UFA-VKO', 198376891), ('UFA-SVO', 195888131), ('SVO-MCX', 182031815), ('MRV-SVO', 181272308), ('VKO-OVB', 177822954), ('SVO-VOG', 174730132), ('KGD-VKO', 173640159), ('KGD-LED', 165386668), ('LED-AER', 160840655), ('MCX-SVO', 154805594), ('OVB-VKO', 149913941), ('VKO-KZN', 141707592), ('AER-LED', 141534705), ('VKO-PEE', 140194337), ('SVO-OVB', 134625116), ('LED-MRV', 134609347), ('LED-SVX', 131624340), ('VOG-SVO', 131449793), ('SVO-CEK', 123530712), ('KZN-VKO', 119471470), ('OVB-SVO', 118786871), ('GSV-VKO', 118515139), ('TJM-VKO', 117143523), ('KZN-AER', 116192450), ('VKO-TJM', 116169191), ('SVX-LED', 113653614), ('PEE-VKO', 112286283), ('VKO-GSV', 112249244), ('VKO-AYT', 111925466), ('LED-UFA', 108643701), ('AYT-VKO', 103342585), ('SVX-AER', 101694673), ('AER-KZN', 97375419), ('MRV-LED', 95679416), ('VKO-DWC', 94869800), ('CEK-SVO', 92149231), ('SVO-KJA', 91526261), ('KJA-SVO', 87217363), ('SVO-PEE', 87033337), ('AER-SVX', 85597002), ('VKO-CEK', 85425670), ('LED-OVB', 83287407), ('MSQ-VKO', 82812096), ('UFA-LED', 81511559), ('DWC-VKO', 76728495), ('OVB-LED', 75090492), ('LED-KUF', 72839450), ('LED-PEE', 72670969), ('SVO-OMS', 72243119), ('LED-MSQ', 71434644), ('KUF-LED', 69869778), ('VKO-MSQ', 69375454), ('SVO-CSY', 68714141), ('MSQ-LED', 68510807), ('SVO-IKT', 68447407), ('UFA-AER', 67039546), ('LED-MCX', 66871743), ('VKO-ULV', 64317864), ('CSY-SVO', 63996110), ('KVX-SVO', 63690278), ('KZN-LED', 63305350), ('PEE-SVO', 62978739), ('CEK-VKO', 61412876), ('VOG-LED', 60352929), ('GSV-LED', 60294673), ('ULV-VKO', 59759963), ('LED-VOG', 59479708), ('PEE-LED', 57843276), ('VKO-SGC', 57445093), ('SGC-VKO', 57088567), ('AER-UFA', 57014676)]"
Полярные авиалинии,PI,Polar Airlines,False,"[('YKS-OLZ', 102394), ('OLZ-YKS', 77218), ('YYZ-PHL', 66843), ('PHL-YYZ', 49435), ('YUL-PHL', 35898), ('YKS-BQJ', 26185), ('PHL-YUL', 22837), ('BQJ-YKS', 22286), ('ULK-YKS', 18130), ('YKS-ULK', 17683), ('YKS-IKS', 15393), ('YKS-SEK', 11606), ('IKS-YKS', 9383), ('YYZ-ORD', 9029), ('YKS-SUY', 8376), ('YKS-NYR', 8056), ('ORD-YYZ', 8016), ('SUY-YKS', 6721), ('CLT-ROA', 6295), ('ROA-CLT', 6277), ('SEK-YKS', 6188), ('CAE-CLT', 6114), ('YKS-NER', 6039), ('BDL-PHL', 5935), ('PHL-BDL', 5906), ('YKS-UKG', 5883), ('PHL-RIC', 5719), ('CLT-CAE', 5673), ('RIC-PHL', 5618), ('YKS-ZKP', 5188), ('CLT-FAY', 5177), ('NYR-YKS', 5096), ('PHL-ALB', 5061), ('ALB-PHL', 5006), ('PHL-MDT', 4987), ('MDT-PHL', 4813), ('PHL-ROC', 4786), ('FAY-CLT', 4766), ('ROC-PHL', 4704), ('PHL-BUF', 4598), ('YKS-MQJ', 4461), ('SYR-PHL', 4398), ('YKS-ZIX', 4393), ('BUF-PHL', 4304), ('PHL-SYR', 4239), ('NER-YKS', 4216), ('UKG-YKS', 4079), ('CHA-CLT', 4076), ('CLT-CHA', 3917), ('PHL-MHT', 3865), ('MHT-PHL', 3851), ('CLT-MOB', 3724), ('YKS-BGN', 3701), ('MOB-CLT', 3682), ('JAN-CLT', 3508), ('CHO-CLT', 3465), ('CLT-AGS', 3372), ('CLT-JAN', 3328), ('CLT-CHO', 3230), ('CLT-MDT', 3166), ('CLT-PHF', 3064), ('PHF-CLT', 3062), ('FWA-CLT', 3029), ('MDT-CLT', 3024), ('AGS-CLT', 2978), ('CLT-FWA', 2886), ('MQJ-YKS', 2882), ('CLT-TLH', 2810), ('ZKP-YKS', 2790), ('TLH-CLT', 2728), ('ZIX-YKS', 2646), ('CLT-TRI', 2514), ('TRI-CLT', 2464), ('PVD-PHL', 2462), ('CLT-OAJ', 2284), ('OAJ-CLT', 2220), ('PHL-PVD', 2185), ('CLT-GSO', 2119), ('YKS-SYS', 2083), ('BGN-YKS', 1952), ('GSO-CLT', 1853), ('EVV-CLT', 1848), ('HSV-CLT', 1829), ('CLT-EVV', 1809), ('CLT-HSV', 1808), ('YKS-SUK', 1783), ('PHL-GSO', 1770), ('ORD-ALB', 1729), ('LYH-CLT', 1710), ('ORD-RIC', 1705), ('CLT-GNV', 1687), ('CLT-LYH', 1667), ('PHL-MYR', 1661), ('CLT-MGM', 1657), ('GNV-CLT', 1651), ('MGM-CLT', 1573), ('ROC-BOS', 1552), ('CVG-PHL', 1529), ('GSO-PHL', 1507), ('ORF-PHL', 1479)]"
Red Wings Airlines,WZ,Red Wings,False,"[('DME-EVN', 170116178), ('ZIA-IST', 138284719), ('DME-IST', 128461660), ('EVN-DME', 120111966), ('IST-ZIA', 112358540), ('IST-DME', 111354325), ('ZIA-AYT', 57535349), ('SVX-KUF', 55526324), ('SVX-KZN', 55290072), ('KZN-SVX', 52848322), ('AER-EVN', 52059907), ('KUF-SVX', 46955393), ('ZIA-EVN', 46367539), ('AYT-ZIA', 45829413), ('DME-AYT', 41004994), ('MCX-IST', 39997483), ('EVN-ZIA', 36992756), ('ZIA-ALA', 35072626), ('AYT-DME', 31555321), ('EVN-AER', 30514256), ('SVX-OMS', 28762425), ('AER-IST', 28404681), ('ZIA-AER', 27969628), ('ALA-ZIA', 27376452), ('IST-MCX', 25996764), ('SVX-NQZ', 25671770), ('AER-ZIA', 25200763), ('SVX-UFA', 24806460), ('DME-TAS', 24622177), ('SVX-GOJ', 23211126), ('SVX-ALA', 23174931), ('GOJ-SVX', 22590016), ('MRV-EVN', 22226738), ('UFA-SVX', 22197138), ('OMS-SVX', 22026387), ('CEK-KZN', 20651372), ('KZN-CEK', 20407501), ('IST-AER', 20364271), ('ZIA-NQZ', 19450847), ('KUF-EVN', 19433490), ('AER-DME', 18893944), ('REN-SVX', 18743780), ('ZIA-GYD', 17844651), ('DME-AER', 17818890), ('NQZ-ZIA', 17453645), ('NQZ-SVX', 17191680), ('SVX-MCX', 17150244), ('EVN-MRV', 16990658), ('GYD-ZIA', 16868419), ('ALA-SVX', 16689413), ('SVX-EVN', 16501223), ('SVX-REN', 15802895), ('GOJ-KUF', 15580648), ('AER-TBS', 15575106), ('ZIA-MCX', 15366922), ('LED-ZIA', 14985136), ('KUF-GOJ', 14498356), ('AER-OGZ', 14141963), ('SVX-GSV', 13624278), ('OGZ-AER', 13329777), ('MCX-AYT', 13190990), ('AER-MCX', 13061818), ('MCX-AER', 12970352), ('AER-AYT', 12895361), ('DME-LED', 12712794), ('ZIA-LED', 12510613), ('LED-DME', 12304842), ('MCX-SVX', 12296469), ('TJM-KUF', 12229102), ('EVN-KUF', 11819351), ('KZN-IST', 11817073), ('MCX-ZIA', 11390183), ('BAX-SVX', 11375530), ('GSV-SVX', 11097070), ('TBS-AER', 11092932), ('KUF-TJM', 10969148), ('SVX-IST', 10685477), ('TAS-DME', 10662045), ('MRV-IST', 10638067), ('SVX-BAX', 10184711), ('AYT-MCX', 10119565), ('EVN-SVX', 9477643), ('CEK-EVN', 9163899), ('UFA-IST', 9021314), ('IST-SVX', 8879239), ('KZN-EVN', 8833370), ('MCX-TAS', 8786169), ('SVX-AYT', 8717817), ('IST-MRV', 8117827), ('IST-KZN', 8035870), ('SVX-TAS', 7657496), ('AYT-AER', 7376512), ('UFA-ALA', 7278588), ('GOJ-EVN', 7220248), ('KZN-NQZ', 7078903), ('UFA-AYT', 6999798), ('KUF-IST', 6961078), ('KUF-AYT', 6801320), ('NQZ-KZN', 6752966), ('KZN-ALA', 6745388)]"
Россия,FV,Rossiya Airlines,False,"[('VKO-LED', 5076472644), ('LED-VKO', 3870023918), ('SVO-LED', 1820027850), ('LED-SVO', 1553169425), ('LED-AER', 866670680), ('AER-LED', 681273199), ('LED-KGD', 423422576), ('SVO-AER', 408036848), ('SVO-GOJ', 360221922), ('GOJ-SVO', 343690677), ('KGD-LED', 329175055), ('AER-IST', 309052145), ('LED-SVX', 296617154), ('DME-LED', 295005565), ('LED-MRV', 292581017), ('AER-SVO', 280562054), ('SVX-LED', 279275904), ('KZN-LED', 269776652), ('LED-KZN', 259466570), ('SVO-SVX', 255310943), ('LED-DME', 251154143), ('LED-GOJ', 243543178), ('LED-UFA', 240071547), ('SVX-SVO', 237683480), ('MRV-LED', 223522785), ('GOJ-LED', 222368773), ('UFA-LED', 222015240), ('IST-AER', 217350916), ('LED-KUF', 191239820), ('KUF-LED', 144980961), ('MMK-LED', 123603315), ('AER-AYT', 120539114), ('LED-MMK', 113598434), ('SVO-TJM', 110161199), ('TJM-SVO', 102925215), ('AER-EVN', 100018709), ('LED-PEE', 91015444), ('LED-MCX', 88591916), ('ARH-LED', 88354116), ('LED-ARH', 88136820), ('KJA-IKT', 85805395), ('LED-TJM', 83203790), ('LED-OVB', 80888582), ('VOG-LED', 79384660), ('IKT-KJA', 77942035), ('SVO-UFA', 76823034), ('SVO-MRV', 76046908), ('LED-KJA', 76008142), ('LED-VOG', 74091322), ('CEK-LED', 73801699), ('AYT-AER', 72498993), ('LED-CEK', 70829683), ('UFA-SVO', 70034278), ('MCX-LED', 68171868), ('EVN-AER', 66805575), ('SVO-MMK', 65615089), ('TJM-LED', 64447192), ('SVO-KGD', 62986713), ('SVO-VOG', 61155373), ('KJA-LED', 60752481), ('OVB-LED', 60708763), ('LED-SGC', 60036281), ('PEE-LED', 58701292), ('LED-EVN', 57033074), ('MRV-SVO', 56484608), ('ARH-SVO', 56420425), ('KGD-SVO', 55273053), ('SGC-LED', 53449950), ('SVO-EVN', 53209362), ('SVO-IJK', 53049608), ('MMK-SVO', 53004566), ('SVO-ARH', 50429194), ('SVO-CEK', 48472236), ('LED-OMS', 48458131), ('IJK-SVO', 47814351), ('KJA-AER', 47378445), ('CEK-SVO', 46564119), ('SVO-ULV', 46391986), ('VOG-SVO', 44466825), ('OMS-LED', 44112520), ('SCW-LED', 43554433), ('GSV-SVO', 42134519), ('LED-SCW', 41895995), ('SVO-SCW', 39080083), ('AER-KJA', 38548882), ('SCW-SVO', 37426303), ('REN-LED', 34532394), ('EVN-LED', 33922475), ('LED-GRV', 33857444), ('EVN-SVO', 32307328), ('SVO-KZN', 31277541), ('SVO-NBC', 30391686), ('SVO-PEE', 29902584), ('SVX-KJA', 27956448), ('PEE-SVO', 26480269), ('SVO-MCX', 26103200), ('VKO-KZN', 25318611), ('KJA-SVX', 24575220), ('SVO-ASF', 23810386), ('SVO-REN', 23503801)]"
Royal Flight,RL,Royal Flight,False,"[('AYT-SVO', 132646), ('SVO-AYT', 126751), ('AYT-SVX', 8177), ('SVX-AYT', 8088), ('ROV-AYT', 2178), ('AYT-ROV', 1889), ('AYT-KRR', 930), ('AYT-KUF', 708), ('DME-AYT', 398), ('AYT-LED', 224), ('SVO-BJV', 212), ('BJV-SVO', 207), ('SVO-AUH', 167), ('AYT-OVB', 147), ('AUH-SVO', 91), ('KGD-AYT', 79), ('AYT-OMS', 7), ('AYT-VOZ', 6), ('VOZ-AYT', 5), ('ARH-AYT', 3), ('AYT-ARH', 3), ('SSH-SVO', 3), ('CGN-HRG', 2), ('HRG-SVO', 2), ('SVO-HRG', 2), ('SVO-SSH', 2), ('XTI-YJV', 2)]"
