,name,name_en,code,lat,lon,has_flightable_airport,time_zone
0,Оха,Okha,OHH,53.516666,142.88333,True,Asia/Srednekolymsk
1,Владивосток,Vladivostok,VVO,43.378574,132.14075,True,Asia/Vladivostok
2,Нефтекамск,Neftekamsk,NEF,56.1,54.35,False,Asia/Yekaterinburg
3,Кислокан,Kislokan,КСЮ,63.5933342,103.95,False,Asia/Krasnoyarsk
4,Уренгой,Urengoy,UEN,65.96,78.38,False,Asia/Yekaterinburg
5,Сургут,Surgut,SGC,61.339916,73.40953,True,Asia/Yekaterinburg
6,Белорецк,Beloreck,BCX,53.933334,58.333332,False,Asia/Yekaterinburg
7,Чегдомын,Chegdomyn,ЧГД,51.1377792,132.93611,True,Asia/Vladivostok
8,Толька,Tolka,ТЬК,63.9869461,82.05139,True,Asia/Yekaterinburg
9,Маган,Magan,GYG,62.10399,129.55028,True,Asia/Yakutsk
10,Череповец,Cherepovets,CEE,59.283333,38.066666,True,Europe/Moscow
11,Колекъеган,Kolekjegan,КЛК,61.7283325,79.11833,False,Asia/Yekaterinburg
12,Брянск,Bryansk,BZK,53.266666,34.333332,True,Europe/Moscow
13,Победа,Pobeda,ПБЕ,49.043335,134.31334,False,Asia/Vladivostok
14,Челябинск,Chelyabinsk,CEK,55.297504,61.51235,True,Asia/Yekaterinburg
15,Хаилино,Khailino,ХАИ,60.9524994,166.83611,False,Asia/Kamchatka
16,Усть-Цильма,Ust-Tsilma,UTS,65.433334,52.2,True,Europe/Moscow
17,Тура,Tura,GOY,64.2758331,100.21639,True,Asia/Krasnoyarsk
18,Сунтар,Suntar,SUY,62.166667,117.633333,True,Asia/Yakutsk
19,Усть-Мая,Ust-Maya,UMS,60.41528,134.54722,True,Asia/Yakutsk
20,Ямбург,Yamburg,ЯМБ,67.9883347,75.09695,True,Asia/Yekaterinburg
21,Суломай,Sulomay,САЙ,62.30749,91.012394,False,Asia/Krasnoyarsk
22,Кепервеем,Keperveyem,KPW,67.84056,166.13917,True,Asia/Kamchatka
23,Диксон,Dikson,DKS,73.51667,80.36667,True,Asia/Krasnoyarsk
24,Терскол,terskol,ТЕЬ,43.256191,42.514451,False,Europe/Moscow
25,Братск,Bratsk,BTK,56.36667,101.816666,True,Asia/Irkutsk
26,Омск,Omsk,OMS,54.957455,73.3167,True,Asia/Omsk
27,Слаутное,Slautnoe,СЛУ,63.1752777,167.97667,False,Asia/Kamchatka
28,Советская Гавань,Sovetskaya Gavan,GVN,48.9575,140.2811111,True,Asia/Vladivostok
29,Ленск,Lensk,ULK,60.72248,114.83152,True,Asia/Yakutsk
30,Тугур,Tugur,ТУУ,53.7733345,136.81833,False,Asia/Vladivostok
31,Киренск,Kirensk,KCK,57.772778,108.060833,True,Asia/Irkutsk
32,Когалым,Kogalym,KGP,62.19583,74.53361,True,Asia/Yekaterinburg
33,Шахтёрск,Shakhtyorsk,EKS,49.190735,142.077703,True,Asia/Sakhalin
34,Архыз,Arkhyz,АХЗ,43.564328,41.280404,False,Europe/Moscow
35,Хатанга,Hatanga,HTG,71.96667,102.5,True,Asia/Krasnoyarsk
36,Ноябрьск,Nojabrxsk,NOJ,63.17673,75.29459,True,Asia/Yekaterinburg
37,Зырянка,Zyryanka,ZKP,65.75,150.9,True,Asia/Srednekolymsk
38,Ербогачён,Erbogachen,ERG,61.275,108.03,True,Asia/Irkutsk
39,Санкт-Петербург,Saint Petersburg,LED,59.939039,30.315785,True,Europe/Moscow
40,Владикавказ,Vladikavkaz,OGZ,43.2,44.6,True,Europe/Moscow
41,Ейск,Yeysk,EIK,46.71056,38.27778,False,Europe/Moscow
42,Петрозаводск,Petrozavodsk,PES,61.683334,34.333332,True,Europe/Moscow
43,Палана,Palana,ПАН,59.081665,159.88861,True,Asia/Kamchatka
44,Вилюйск,Vilyuisk,VYI,63.75639,121.69306,True,Asia/Yakutsk
45,Магнитогорск,Magnitogorsk,MQF,53.45,59.066666,True,Asia/Yekaterinburg
46,Мезень,Mezen,МЗН,65.878334,44.21695,True,Europe/Moscow
47,Красный Чикой,Krasnyiy Chikoy,КСЧ,50.3708344,108.76444,True,Asia/Yakutsk
48,Тикси,Tiksi,IKS,71.7,128.9,True,Asia/Yakutsk
49,Анадырь,Anadyr,DYR,64.73333,177.75,True,Asia/Anadyr
50,Смирных,Smirnykh,СМХ,49.75,142.833328,True,Asia/Sakhalin
51,Самарга,Samarga,СМГ,47.247776,138.78999,False,Asia/Vladivostok
52,Батагай-Алыта,Batagay-Alyta,SUK,67.846707,130.467126,True,Asia/Yakutsk
53,Белая Гора,Belaya Gora,BGN,68.5375,146.1875,True,Asia/Srednekolymsk
54,Дальнереченск,Dalnerechensk,DLR,45.876667,133.735,True,Asia/Vladivostok
55,Удское,Udskoe,УДС,54.501667,134.33833,False,Asia/Vladivostok
56,Варандей,Varandey,VRI,68.82467595607437,58.068846169646534,False,Europe/Moscow
57,Пермь,Perm,PEE,57.920025,56.01918,True,Asia/Yekaterinburg
58,Соболево,Sobolevo,СБО,54.3069458,155.97417,True,Asia/Kamchatka
59,Элиста,Elista,ESL,46.36667,44.333332,True,Europe/Moscow
60,Тобольск,Tobolsk,RMZ,58.13333,68.23333,True,Asia/Yekaterinburg
61,Пенза,Penza,PEZ,53.11852,45.02305,True,Europe/Moscow
62,Южно-Курильск,Kunashir Island,DEE,43.9584,145.683,True,Asia/Sakhalin
63,Йошкар-Ола,Yoshkar-Ola,JOK,56.716667,47.9,True,Europe/Moscow
64,Ессей,Essey,ЕСИ,68.4616699,102.18166,False,Asia/Krasnoyarsk
65,Мирюга,Miriuga,МГА,60.2999992,99.51667,False,Asia/Krasnoyarsk
66,Тиличики,Tilichiki,ТИЛ,60.3852768,166.02556,True,Asia/Kamchatka
67,Усть-Хайрюзово,Ust-Khayryuzovo,УХЙ,57.0991669,156.73584,True,Asia/Kamchatka
68,Норильск,Noril'sk,NSK,69.32312,87.339806,True,Asia/Krasnoyarsk
69,Жиганск,Zhigansk,ZIX,66.766667,123.383333,True,Asia/Yakutsk
70,Никольское,Nikolskoe,НИК,55.1775017,166.045,True,Asia/Kamchatka
71,Горно-Алтайск,Gorno-Altaysk,RGK,51.969166,85.83639,True,Asia/Barnaul
72,Марково,Markovo,KVM,64.6647186,170.4136,True,Asia/Anadyr
73,Нижний Новгород,Nizhniy Novgorod,GOJ,56.218613,43.789764,True,Europe/Moscow
74,Петропавловск-Камчатский,Petropavlovsk-Kamchatsky,PKC,53.016666,158.65,True,Asia/Kamchatka
75,Туруханск,Turukhansk,THX,65.79722,87.93528,True,Asia/Krasnoyarsk
76,Бурный,Burnyj,БУЫ,61.8499985,92.65,False,Asia/Krasnoyarsk
77,Чебоксары,Cheboksary,CSY,56.13333,47.266666,True,Europe/Moscow
78,Смоленск,Smolensk,LNX,54.8,32.05,False,Europe/Moscow
79,Таксимо,Taksimo,TKM,56.3616676,114.92722,True,Asia/Irkutsk
80,Астрахань,Astrakhan,ASF,46.2877,47.999977,True,Europe/Samara
81,Минеральные Воды,Mineralnye Vody,MRV,44.218105,43.085815,True,Europe/Moscow
82,Чкаловский,Chkalovsky,CKL,55.86667,38.051945,False,Europe/Moscow
83,Волгодонск,Volgodonsk,VLK,47.683334,42.083332,False,Europe/Moscow
84,Аян,Ajan,АЯН,56.4302788,138.04973,True,Asia/Vladivostok
85,Новосибирск,Novosibirsk,OVB,55.00901,82.667,True,Asia/Novosibirsk
86,Чиринда,Chirinda,ЧИР,67.5400009,100.41333,False,Asia/Krasnoyarsk
87,Усть-Илимск,Ust-Ilimsk,UIK,58.13333,102.55,True,Asia/Irkutsk
88,Нелькан,Nelkan,НЛН,57.6416664,136.16167,True,Asia/Vladivostok
89,Вершинские,Vershinskie,ВЕШ,57.0333328,70.11667,False,Asia/Yekaterinburg
90,Кострома,Kostroma,KMW,57.75,40.933334,True,Europe/Moscow
91,Великий Устюг,Velikij Ustyug,VUS,60.766666,46.316666,True,Europe/Moscow
92,Новокуровка,Novokurovka,НУВ,48.8499985,134.3,False,Asia/Vladivostok
93,Нижнеангарск,Nizhneangarsk,NZG,55.8011093,109.59389,True,Asia/Irkutsk
94,Апука,Apuka,АПУ,60.439167,169.62111,False,Asia/Kamchatka
95,Рыбинск,Rybinsk,RYB,58.13333,38.86667,False,Europe/Moscow
96,Северо-Енисейский,Severo-Eniseyskiy,VEO,60.373333,93.01667,True,Asia/Krasnoyarsk
97,Красноярск,Krasnojarsk,KJA,56.18113,92.48286,True,Asia/Krasnoyarsk
98,Вагай,Vagay,ВАГ,57.9272232,69.00667,True,Asia/Yekaterinburg
99,Махачкала,Makhachkala,MCX,42.82095,47.65611,True,Europe/Moscow
100,Манилы,Manily,МИЛ,62.4858322,165.3364,True,Asia/Kamchatka
101,Ижевск,Izhevsk,IJK,56.833332,53.466667,True,Europe/Samara
102,Единка,Edinka,ЕДИ,47.1800003,138.64833,False,Asia/Vladivostok
103,Эконда,Ekonda,ЭКО,65.7566681,105.33,False,Asia/Krasnoyarsk
104,Кемерово,Kemerovo,KEJ,55.280567,86.11623,True,Asia/Novokuznetsk
105,Бор,Bor,TGP,61.59,89.97945,True,Asia/Krasnoyarsk
106,Пуг-Юг,Pug-Jug,ПУГ,61.0080566,79.89222,False,Asia/Yekaterinburg
107,Мотыгино,Motygino,MJY,58.1808319,94.74472,True,Asia/Krasnoyarsk
108,Стрежевой,Strezhevoy,SWT,60.5,77.0,True,Asia/Tomsk
109,Олёкминск,Olokminsk,OLZ,60.366667,120.416667,True,Asia/Yakutsk
110,Домбай,Dombay,ДМЙ,43.29069,41.624932,False,Europe/Moscow
111,Азау,azau,АЗА,43.266245,42.48207,False,Europe/Moscow
112,Железногорск,Zheleznogorsk,ЖЕЗ,57.6176256,79.46004,True,Asia/Irkutsk
113,Геленджик,Gelendzik,GDZ,44.566666,38.016666,True,Europe/Moscow
114,Ессентуки,Essentuki,ЕСН,44.046191,42.857295,False,Europe/Moscow
115,Сабетта,Sabetta,SBT,71.25,72.096111,True,Asia/Dushanbe
116,Сеймчан,Seymchan,СМЧ,62.9166679,152.41667,True,Asia/Magadan
117,Хонуу,Khonu,MQJ,66.45,143.233333,True,Asia/Srednekolymsk
118,Орёл,Orel,OEL,52.983334,36.1,False,Europe/Moscow
119,Набережные Челны (Нижнекамск),Naberezhnye Chelny,NBC,55.564125,52.10341,True,Europe/Moscow
120,Залив Лаврентия,Zaliv Lavrentija,ЗЛА,65.5833359,-171.01334,True,Asia/Anadyr
121,Усинск,Usinsk,USK,65.95,57.4,True,Europe/Moscow
122,Казань,Kazan,KZN,55.79083,49.11444,True,Europe/Moscow
123,Калининград,Kaliningrad,KGD,54.882656,20.586645,True,Europe/Kaliningrad
124,Усть-Омчуг,Ust-Omchug,УОМ,61.14759784616266,149.63504661371528,True,Asia/Magadan
125,Нижневартовск,Nizhnevartovsk,NJC,60.9476,76.49145,True,Asia/Yekaterinburg
126,Курган,Kurgan,KRO,55.433334,65.3,True,Asia/Yekaterinburg
127,Краснодар,Krasnodar,KRR,45.034138,39.139004,True,Europe/Moscow
128,Саскылах,Saskylakh,SYS,71.92613,114.08235,True,Asia/Yakutsk
129,Вампугольск,Vampugolsk,ВМП,60.8666649,76.61667,False,Asia/Yekaterinburg
130,Ларьяк,Larjak,ЛРЯ,61.1033325,80.24667,False,Asia/Yekaterinburg
131,Талакан,Talakan,TLK,59.876389,111.044444,True,Asia/Yakutsk
132,Черский,Cherskiy,CYX,68.75,161.35,True,Asia/Srednekolymsk
133,Магас,Magas,IGT,43.16667,44.81667,True,Europe/Moscow
134,Улан-Удэ,Ulan-Ude,UUD,51.833332,107.5,True,Asia/Irkutsk
135,Сусуман,Susuman,ССМ,62.7672195,148.1461,True,Asia/Magadan
136,Ухта,Ukhta,UCT,63.566666,53.8,True,Europe/Moscow
137,Старый Оскол,Stary Oskol,СОЛ,51.3283348,37.76667,True,Europe/Moscow
138,Нарьян-Мар,Naryan-Mar,NNM,67.61667,53.15,True,Europe/Moscow
139,Верхневилюйск,Verhnevilyuisk,VHV,63.45667,120.26444,True,Asia/Yakutsk
140,Киров,Kirov,KVX,58.5,49.35,True,Europe/Moscow
141,Воркута,Vorkuta,VKT,67.48333,63.983334,True,Europe/Moscow
142,Уфа,Ufa,UFA,54.565403,55.884544,True,Asia/Yekaterinburg
143,Омолон,Omolon,ООЛ,65.2383347,160.54195,True,Asia/Anadyr
144,Амдерма,Amderma,AMV,69.76667,61.55,False,Europe/Moscow
145,Игарка,Igarka,IAA,67.433334,86.63333,True,Asia/Krasnoyarsk
146,Иркутск,Irkutsk,IKT,52.273308,104.35607,True,Asia/Irkutsk
147,Оленёк,Olenyok,ONK,68.5,112.433333,True,Asia/Yakutsk
148,Усть-Кут,Ust-Kut,UKX,56.85,105.73333,True,Asia/Irkutsk
149,Чара,Chara,CZR,56.9147224,118.27084,True,Asia/Yakutsk
150,Омсукчан,Omsukchan,ОСУ,62.4583321,155.74556,True,Asia/Magadan
151,Барнаул,Barnaul,BAX,53.361088,83.547646,True,Asia/Barnaul
152,Абакан,Abakan,ABA,53.716667,91.5,True,Asia/Krasnoyarsk
153,Балаково,Balakovo,BWO,51.86667,47.75,False,Europe/Volgograd
154,Сыктывкар,Syktyvkar,SCW,61.666668,50.766666,True,Europe/Moscow
155,Великие Луки,Velikiye Luki,VLU,56.38333,30.616667,False,Europe/Moscow
156,Ванавара,Vanavara,VAQ,60.3566666,102.31,True,Asia/Krasnoyarsk
157,Ачинск,Achinsk,ACS,56.266666,90.566666,False,Asia/Krasnoyarsk
158,Кировск (Апатиты),Kirovsk,KVK,67.583336,33.583332,True,Europe/Moscow
159,Усть-Куйга,Ust-Kuiga,UKG,70.00139,135.54972,True,Asia/Yakutsk
160,Охотск,Okhotsk,OHO,59.416668,143.05,True,Asia/Vladivostok
161,Белоярский,Beloyarsky,EYK,63.696682,66.70121,True,Asia/Yekaterinburg
162,Ярославль,Yaroslavl,IAR,57.61667,39.88333,True,Europe/Moscow
163,Максимовка,Maximovka,МКИ,46.0933342,137.89333,False,Asia/Vladivostok
164,Кускургуль,Kuskurgul,КГЬ,58.0916672,66.605,True,Asia/Yekaterinburg
165,посёлок Провидения,Provideniya,PVS,64.38333,-173.24333,False,Asia/Anadyr
166,Кызыл,Kyzyl,KYZ,51.7,94.46667,True,Asia/Krasnoyarsk
